Age,Income,Credit_Score,Missed_Payments,Debt_to_Income_Ratio,Delinquent
22,87649,637,0,0.2,0
20,67001,619,4,0.38,0
54,36470,623,0,0.31,0
31,76877,639,1,0.14,0
59,17816,572,2,0.1,1
33,42133,570,5,0.3,1
18,69579,617,0,0.55,0
25,76439,699,1,0.32,0
56,73271,683,1,0.05,0
37,58506,713,1,0.42,0
32,43589,676,3,0.14,0
42,67696,601,1,0.53,0
46,27674,709,1,0.06,0
54,29530,566,1,0.43,1
58,50870,718,2,0.05,0
35,54389,570,0,0.27,1
22,16393,617,3,0.62,1
34,64414,658,0,0.38,0
43,77935,720,1,0.39,0
27,46799,690,2,0.55,0
27,203756,681,2,0.66,0
44,32540,793,2,0.41,0
39,39472,569,3,0.1,0
40,38675,617,0,0.13,0
30,46830,615,2,0.18,0
37,40245,514,0,0.42,1
27,21076,596,2,0.13,1
51,35315,721,0,0.15,0
53,46232,592,4,0.47,1
18,102451,660,1,0.36,0
27,183752,576,1,0.33,0
20,109238,632,1,0.32,0
31,30784,652,0,0.3,0
38,32290,718,1,0.24,0
21,44551,579,1,0.31,0
28,143019,652,0,0.33,0
26,44388,745,2,0.26,0
42,22103,619,0,0.55,1
40,36289,496,1,0.41,1
30,77206,756,2,0.18,0
42,74158,724,2,0.34,0
32,43471,732,1,0.52,0
36,73869,575,0,0.57,0
61,15000,770,2,0.25,0
57,52171,633,2,0.31,0
23,82158,649,3,0.23,0
50,29741,637,2,0.1,0
50,29679,736,0,0.37,0
25,15996,669,3,0.1,0
50,127253,708,0,0.1,0
59,31821,684,0,0.15,0
25,56648,674,1,0.3,0
28,70428,623,3,0.18,0
53,121447,788,0,0.23,0
43,44696,538,1,0.47,1
47,35466,704,1,0.47,0
44,54384,702,1,0.44,0
45,105920,749,0,0.43,0
22,44262,763,1,0.33,0
53,27641,635,2,0.53,1
55,19448,711,2,0.54,0
37,23558,785,0,0.1,0
39,82341,676,1,0.38,0
20,40442,616,0,0.51,0
46,34046,656,0,0.39,0
47,31901,571,5,0.27,1
39,51587,702,2,0.32,0
54,42460,743,1,0.36,0
35,41611,635,4,0.24,1
47,110149,582,0,0.05,0
26,123353,741,1,0.28,0
39,18657,515,0,0.58,1
37,59668,543,3,0.36,1
42,30757,669,1,0.64,0
35,42236,695,0,0.05,0
38,59016,705,1,0.43,0
50,43146,676,1,0.24,0
34,56290,785,3,0.09,0
19,73407,683,0,0.72,0
62,58497,742,0,0.3,0
57,33252,727,1,0.26,0
23,33606,544,2,0.43,1
48,20664,622,4,0.22,1
33,29367,807,3,0.24,0
43,159092,649,1,0.41,0
43,30479,600,4,0.57,1
36,23955,690,0,0.21,0
29,59394,651,1,0.4,0
31,45879,632,0,0.32,0
28,43592,651,0,0.09,0
29,114168,743,2,0.8,1
39,68150,631,2,0.23,1
30,35667,600,0,0.05,0
48,37998,589,1,0.07,0
59,36259,812,1,0.13,0
32,82854,666,1,0.4,0
43,40745,706,1,0.36,0
46,16715,633,1,0.29,0
46,47620,699,1,0.07,0
40,19492,767,0,0.14,0
49,181777,640,2,0.05,0
46,27463,707,1,0.23,0
23,44483,552,4,0.2,1
51,57235,801,1,0.39,0
51,41225,696,1,0.34,0
30,41191,655,0,0.15,0
40,63139,613,4,0.5,1
48,122483,649,0,0.21,0
37,77691,626,5,0.21,1
53,119027,533,2,0.29,0
70,26161,674,1,0.05,0
29,59303,671,4,0.44,0
22,53806,670,5,0.45,1
43,60515,648,4,0.3,0
49,111942,633,2,0.23,0
36,42938,679,1,0.24,0
58,38434,583,0,0.1,0
22,67534,650,3,0.23,1
49,16866,510,3,0.7,1
32,42526,747,1,0.36,0
62,45228,721,1,0.2,0
65,28219,624,3,0.28,0
30,92432,719,2,0.5,0
32,25917,686,0,0.34,0
51,45182,619,2,0.55,0
34,58448,558,1,0.29,0
39,110422,698,1,0.34,0
40,48711,609,2,0.54,1
18,85964,745,0,0.14,0
39,74634,680,0,0.35,0
31,52789,638,1,0.36,0
33,25496,787,1,0.41,0
58,20728,714,2,0.11,0
23,52255,460,1,0.62,0
50,35396,618,3,0.53,1
36,85097,546,2,0.35,1
36,76689,632,0,0.19,0
50,43880,671,2,0.22,0
44,24474,701,0,0.27,0
47,66598,695,1,0.06,0
52,26615,712,1,0.59,1
35,31098,718,0,0.27,0
32,27237,714,1,0.18,0
25,45111,692,0,0.18,0
29,98924,757,1,0.17,0
70,48872,661,1,0.35,0
56,37574,612,3,0.21,1
22,19626,565,0,0.47,0
22,68273,743,2,0.07,0
46,30691,675,0,0.35,0
47,52602,850,2,0.11,0
47,39635,655,2,0.19,0
36,81056,685,1,0.11,0
38,44607,712,0,0.1,0
44,47317,613,2,0.43,0
41,65607,701,0,0.22,0
18,173540,682,4,0.27,0
37,83538,661,2,0.39,0
28,46482,750,0,0.33,0
42,49114,625,0,0.12,0
70,35777,696,3,0.34,0
44,27722,746,3,0.75,1
35,35184,637,2,0.2,0
51,30844,662,1,0.28,0
46,72549,820,0,0.17,0
45,25778,683,3,0.55,1
47,109089,649,1,0.33,0
66,76974,728,1,0.2,0
25,49627,645,1,0.28,0
46,49030,565,2,0.58,1
27,35088,762,1,0.08,0
47,57644,613,0,0.14,0
28,94169,827,0,0.4,0
34,32148,650,2,0.29,0
36,19535,753,2,0.18,1
52,74751,561,5,0.59,1
51,59552,741,1,0.05,0
23,25031,709,1,0.29,0
40,31570,730,1,0.13,0
30,29276,738,2,0.2,0
23,31738,650,1,0.34,0
37,40367,543,2,0.77,1
35,41775,676,0,0.31,0
70,33174,693,0,0.06,0
45,31104,594,1,0.31,1
22,42733,696,0,0.19,0
32,54209,699,2,0.53,0
53,40547,625,1,0.13,0
67,98243,703,0,0.33,0
19,66493,630,2,0.63,1
18,18873,590,3,0.34,1
64,67119,727,0,0.31,0
45,70497,576,0,0.59,1
28,37765,652,0,0.05,0
46,19987,684,2,0.15,0
18,49258,762,1,0.35,0
40,48794,691,0,0.49,0
44,25009,711,0,0.26,0
52,20522,662,1,0.26,0
26,46512,650,1,0.43,1
41,42623,677,1,0.63,0
27,38163,697,0,0.5,0
43,46627,662,1,0.34,0
28,25294,727,2,0.12,1
34,37763,657,1,0.51,0
27,67507,577,3,0.08,0
48,39736,844,0,0.21,0
51,17976,660,3,0.29,0
36,36915,758,1,0.24,0
40,25794,764,3,0.17,0
21,57542,736,1,0.16,0
36,59355,668,1,0.14,0
39,18119,697,0,0.19,0
70,77296,603,0,0.33,0
25,25151,799,1,0.33,0
59,124930,628,2,0.11,0
52,47606,664,0,0.17,0
43,23205,685,1,0.25,0
62,24706,673,2,0.05,0
44,60406,640,1,0.8,0
45,38762,763,0,0.58,0
39,46258,737,1,0.55,0
55,129012,699,0,0.24,0
54,32223,656,3,0.22,0
31,50816,743,0,0.05,0
22,114910,652,0,0.36,0
37,57659,774,2,0.38,0
29,18695,686,0,0.44,0
39,66385,753,0,0.21,0
56,24396,673,5,0.31,0
34,114014,684,0,0.32,0
39,29919,753,0,0.53,0
40,250000,811,2,0.11,0
51,118234,728,3,0.24,1
18,30394,732,0,0.15,0
32,49613,715,3,0.17,0
42,77048,649,0,0.4,0
55,78448,649,3,0.61,1
33,63920,625,0,0.71,0
18,103911,702,3,0.09,0
48,45534,706,1,0.24,0
31,39338,562,1,0.11,0
24,39810,682,0,0.42,0
31,82045,704,0,0.09,0
37,61029,630,3,0.53,1
32,58382,701,1,0.28,0
18,78995,599,2,0.22,0
51,15000,633,0,0.38,0
56,59044,742,1,0.34,0
48,55890,680,0,0.26,0
25,133423,700,1,0.12,0
37,19591,617,4,0.34,1
39,124780,681,2,0.32,0
47,51289,514,1,0.29,1
48,65735,730,2,0.39,0
30,133994,788,2,0.45,0
41,68628,616,0,0.51,0
45,62331,590,2,0.41,1
58,56691,706,0,0.06,0
49,36677,768,0,0.23,0
50,48189,679,1,0.07,0
41,31910,606,0,0.27,0
58,47727,667,3,0.61,0
45,15000,618,5,0.19,0
28,63412,617,2,0.59,1
58,45567,609,1,0.44,1
49,40065,567,3,0.32,1
34,55929,633,1,0.13,0
33,20740,684,0,0.18,0
43,155992,671,5,0.28,1
46,46089,594,0,0.18,0
42,44913,703,0,0.2,0
44,27467,598,0,0.35,1
62,49730,723,1,0.13,0
53,112665,726,1,0.21,0
42,91267,647,1,0.09,0
52,81851,716,1,0.5,0
26,68039,629,1,0.57,0
45,39532,759,3,0.15,0
63,20535,632,2,0.21,0
37,43450,657,3,0.68,1
28,42551,668,0,0.27,0
31,91975,618,2,0.26,0
25,59020,734,1,0.11,0
29,128976,643,0,0.37,0
35,100558,537,2,0.53,1
21,37275,457,2,0.28,1
40,16695,579,3,0.59,1
51,112571,762,1,0.5,0
28,110816,755,0,0.19,0
59,21596,636,0,0.2,0
46,121242,630,1,0.3,1
53,61652,652,0,0.79,0
31,53982,599,1,0.3,0
51,129168,623,1,0.48,0
25,109843,679,4,0.24,1
51,72460,710,2,0.24,0
42,65116,696,1,0.52,0
47,70957,599,0,0.26,0
24,38559,686,2,0.69,0
28,47426,496,2,0.29,1
47,28527,730,0,0.06,0
27,40141,695,1,0.44,0
46,39340,599,1,0.12,0
22,33483,776,1,0.24,0
51,53212,546,4,0.8,1
23,40360,688,3,0.7,1
47,66259,678,2,0.34,1
48,18520,605,2,0.21,0
30,45797,677,1,0.33,0
47,53046,581,1,0.25,0
43,40685,509,1,0.74,0
32,44203,615,0,0.33,0
26,18936,592,2,0.54,1
18,60711,718,1,0.46,0
44,72298,684,1,0.34,0
19,65915,685,2,0.19,0
41,91421,619,1,0.06,0
36,55321,648,1,0.23,0
48,65330,624,0,0.18,0
36,53833,606,1,0.14,0
35,74052,644,2,0.12,0
49,19027,684,0,0.05,0
44,28677,645,0,0.11,0
44,127025,660,0,0.21,0
46,15000,721,2,0.14,0
20,45066,604,1,0.45,1
49,99048,568,1,0.64,1
47,46353,713,3,0.11,0
26,38445,695,3,0.3,0
36,52979,699,2,0.4,0
39,39661,717,1,0.09,0
38,49936,707,2,0.52,0
44,32531,681,0,0.31,0
58,95339,823,0,0.32,0
54,115146,602,0,0.07,0
22,45250,644,0,0.21,0
48,21335,695,3,0.45,1
57,35799,688,1,0.12,0
45,43897,725,1,0.09,0
54,66391,690,1,0.26,0
66,26774,762,0,0.4,0
53,30899,574,3,0.26,1
43,66596,760,0,0.29,0
53,86106,750,1,0.3,0
41,33760,607,1,0.45,0
40,22028,659,5,0.51,1
35,250000,628,1,0.25,1
60,78431,603,4,0.64,1
29,41764,517,2,0.62,1
59,82571,619,0,0.32,0
46,45493,722,1,0.27,0
21,82478,728,0,0.38,0
44,53940,619,0,0.45,1
18,51780,729,1,0.44,0
48,45791,736,1,0.09,0
51,20569,689,1,0.33,0
32,156820,636,0,0.14,0
41,27863,706,2,0.19,0
65,21676,670,5,0.3,1
33,43143,720,1,0.49,0
26,27532,731,0,0.61,0
59,47523,578,6,0.28,1
65,74062,649,2,0.18,0
40,89070,522,5,0.14,1
53,79924,724,2,0.53,0
57,40807,667,1,0.08,0
30,50501,653,3,0.27,1
33,62612,563,1,0.21,1
56,17074,764,1,0.29,0
61,69033,608,2,0.44,0
47,20447,726,0,0.23,0
28,166742,687,2,0.22,0
65,38456,617,1,0.59,1
33,43873,663,0,0.13,0
35,30889,641,0,0.06,0
44,33591,757,1,0.29,0
60,191847,680,1,0.23,0
51,86182,554,2,0.45,1
45,19350,656,0,0.17,0
46,120876,642,3,0.6,1
40,100302,733,3,0.15,0
47,41409,643,1,0.2,0
18,58924,647,1,0.2,0
36,48583,681,1,0.11,0
43,160099,707,0,0.42,1
25,30400,597,0,0.47,0
45,53509,710,0,0.12,0
37,37915,652,0,0.56,0
62,20747,660,0,0.19,0
60,182587,800,0,0.32,0
33,24126,668,1,0.62,0
38,55942,725,0,0.21,0
39,17250,698,4,0.8,1
34,38582,552,5,0.58,1
42,63144,569,0,0.33,0
30,29886,729,4,0.75,0
25,69708,614,1,0.69,0
48,41713,530,2,0.32,1
48,98326,741,2,0.29,0
29,110974,618,1,0.46,0
51,34473,574,2,0.6,1
31,51330,798,1,0.25,0
43,54724,580,2,0.16,0
50,71083,604,1,0.19,0
39,49445,652,0,0.09,0
45,54947,665,0,0.05,0
33,42359,626,0,0.31,0
37,52530,610,2,0.27,0
37,106805,770,1,0.16,0
30,72232,695,0,0.55,0
37,74664,715,1,0.49,0
19,75647,671,0,0.36,0
33,44699,653,4,0.29,1
36,59355,735,0,0.14,0
36,25562,591,1,0.22,1
36,104954,695,4,0.27,0
39,15000,697,2,0.5,1
46,46523,772,2,0.07,0
51,97201,750,2,0.8,1
31,21626,684,0,0.17,0
24,62309,748,2,0.3,0
26,32582,519,2,0.24,0
33,39289,744,4,0.28,1
35,86471,636,1,0.12,0
29,55206,665,1,0.1,0
23,15000,706,0,0.19,0
34,27286,670,1,0.43,0
42,88009,691,1,0.36,0
47,64174,775,4,0.35,0
32,139927,632,1,0.26,1
34,134536,614,1,0.13,0
27,39920,788,1,0.09,0
39,220123,711,2,0.19,0
28,49746,795,1,0.37,0
47,27512,696,2,0.5,1
18,33517,600,2,0.34,0
35,15000,718,2,0.21,0
43,128567,620,0,0.19,0
42,127625,630,6,0.34,1
70,26654,675,2,0.31,0
44,42756,582,0,0.19,0
26,51915,631,1,0.43,0
38,27550,812,0,0.27,0
18,17101,665,2,0.48,1
38,43208,669,2,0.33,0
29,40431,788,0,0.46,0
51,38830,656,1,0.22,0
32,56029,640,4,0.3,1
38,115579,739,0,0.23,0
31,40869,655,2,0.28,0
62,54299,589,6,0.41,1
35,75820,509,2,0.22,1
63,68356,623,1,0.19,0
50,33905,592,1,0.45,1
46,51939,689,1,0.37,0
44,68085,643,0,0.39,0
45,24909,809,2,0.12,0
18,104623,616,2,0.38,0
36,115722,734,1,0.54,1
50,31771,693,2,0.57,0
39,55061,728,1,0.09,0
21,72068,665,2,0.41,1
39,35335,546,1,0.31,0
62,65445,679,0,0.23,0
56,54065,631,1,0.49,1
39,20317,570,4,0.25,1
52,64569,707,1,0.2,0
35,25334,782,1,0.2,0
18,86122,519,3,0.12,0
27,32770,647,1,0.26,0
60,44499,585,1,0.36,1
36,111677,684,1,0.31,0
36,66027,660,1,0.42,0
36,25650,643,1,0.09,0
64,26663,721,0,0.37,0
61,34214,727,4,0.52,1
68,62117,839,0,0.44,0
37,60777,602,1,0.53,1
43,29558,522,2,0.49,1
20,24335,713,1,0.16,0
59,58043,776,2,0.33,0
24,43953,728,0,0.5,0
42,178854,776,0,0.48,0
25,50109,611,6,0.7,1
32,145590,643,0,0.16,0
29,24288,640,3,0.31,1
32,19073,631,3,0.22,1
32,25032,719,1,0.2,0
32,100055,738,0,0.15,0
50,140598,742,2,0.08,0
25,30659,710,1,0.23,0
42,37184,694,1,0.1,0
55,24309,727,0,0.16,0
33,16531,562,0,0.11,0
30,75436,692,0,0.31,0
37,56039,683,1,0.53,0
55,49330,692,3,0.39,0
42,21162,674,2,0.16,0
33,131133,705,1,0.36,0
46,36242,645,2,0.26,0
25,67519,711,2,0.58,1
48,20481,708,0,0.58,0
45,43725,689,1,0.51,0
35,58385,638,3,0.09,0
29,59649,728,1,0.05,0
28,53787,692,1,0.16,0
46,65954,634,1,0.24,0
55,24876,676,1,0.33,0
31,55183,717,1,0.23,0
45,52483,713,2,0.4,0
18,56331,709,1,0.05,0
32,51195,685,0,0.69,0
39,22835,741,3,0.12,0
28,22232,754,0,0.05,0
27,15000,676,1,0.35,1
31,80059,644,2,0.1,0
43,80546,559,2,0.38,1
37,81318,647,0,0.24,0
18,58928,797,1,0.05,0
18,15000,696,2,0.16,0
32,26475,807,2,0.13,0
45,54298,672,1,0.3,0
18,53173,664,1,0.38,0
33,42888,639,2,0.43,1
33,61166,674,0,0.26,0
58,49364,633,1,0.14,0
34,52704,591,6,0.41,1
44,33408,710,2,0.38,0
41,88362,743,0,0.45,0
18,37855,826,0,0.16,0
49,22061,653,1,0.43,0
42,30865,658,2,0.32,0
46,39772,598,2,0.26,1
70,89000,747,0,0.27,0
18,47793,695,2,0.75,1
62,43840,627,2,0.43,0
36,23174,600,0,0.35,1
43,78534,737,2,0.19,0
39,33151,667,3,0.6,1
34,46165,680,1,0.64,1
32,119146,627,0,0.22,0
44,66520,516,2,0.48,1
20,18454,583,4,0.52,1
49,16954,721,2,0.34,0
34,47165,775,3,0.24,1
25,23679,601,2,0.47,1
34,72339,816,2,0.34,0
56,50279,673,3,0.64,1
33,54134,596,1,0.38,0
44,32078,692,1,0.19,0
30,139362,731,1,0.31,0
49,250000,534,0,0.21,0
48,41475,718,0,0.38,0
64,60586,750,1,0.35,0
37,51971,703,1,0.49,0
48,41948,644,4,0.54,1
41,29755,632,2,0.65,1
56,25566,666,1,0.55,0
30,24801,609,1,0.29,0
49,62513,638,1,0.21,0
37,35889,655,0,0.26,0
39,15000,686,1,0.43,0
41,64017,646,2,0.1,0
43,47908,579,3,0.8,1
38,109974,725,1,0.55,0
42,61320,702,2,0.26,0
60,20187,647,2,0.22,0
52,15000,710,1,0.42,0
51,31834,622,1,0.21,1
34,33689,656,5,0.57,1
28,86326,738,4,0.14,0
52,48760,584,3,0.29,1
51,96781,550,1,0.29,1
59,22139,671,0,0.34,0
32,87479,598,1,0.31,0
37,75553,663,0,0.2,0
18,15000,609,1,0.31,1
34,108398,532,0,0.23,0
52,51848,711,0,0.48,0
33,62020,669,1,0.14,0
48,29174,727,5,0.46,1
37,105361,646,3,0.56,1
44,24064,724,1,0.25,0
25,80761,751,1,0.37,0
41,80206,672,1,0.23,0
18,27323,639,2,0.15,1
37,161139,585,2,0.36,0
18,56326,703,5,0.53,1
55,72572,651,1,0.47,1
50,19608,619,1,0.27,0
46,174667,695,1,0.69,1
59,23511,549,0,0.05,0
27,90665,654,3,0.32,0
62,26987,734,1,0.2,0
52,33813,653,2,0.32,0
36,78688,636,2,0.16,0
54,90810,655,1,0.22,0
25,22861,559,1,0.37,0
29,94304,722,1,0.53,0
32,91765,672,1,0.28,0
33,27923,663,0,0.32,0
26,127923,663,3,0.37,0
55,20453,680,1,0.22,0
36,33696,719,0,0.2,0
44,65342,676,0,0.05,0
32,29373,598,0,0.35,0
18,57428,714,1,0.58,0
43,56649,709,2,0.34,0
18,43816,692,3,0.17,0
39,80776,744,2,0.09,0
22,42743,681,0,0.31,0
65,56326,746,1,0.34,0
51,97526,764,2,0.33,0
41,78779,714,0,0.05,0
56,78559,635,0,0.05,0
28,24599,672,1,0.05,0
47,67162,754,2,0.09,0
42,28937,567,4,0.4,1
43,22723,656,1,0.25,0
56,46956,659,2,0.16,0
49,28493,628,1,0.35,0
43,78776,732,1,0.28,0
18,79915,702,1,0.28,0
27,15653,593,4,0.17,1
38,29822,716,1,0.22,0
41,20417,670,0,0.66,0
25,37138,626,1,0.34,0
70,64415,637,2,0.54,0
59,42388,706,2,0.67,0
47,34411,736,0,0.35,0
40,106948,650,1,0.5,0
37,15000,712,3,0.19,0
27,102962,774,2,0.14,0
41,35363,604,0,0.52,0
43,46776,701,2,0.18,0
23,35724,692,2,0.3,1
44,123714,674,1,0.27,0
37,23421,754,1,0.13,0
18,49367,811,2,0.31,0
28,67269,700,2,0.31,0
34,18646,633,1,0.32,1
64,28227,738,1,0.26,0
47,44850,730,4,0.13,0
22,28796,477,3,0.31,1
46,30050,679,0,0.31,0
19,39738,656,1,0.6,0
54,72384,658,1,0.52,1
33,39909,613,2,0.29,1
38,93625,674,1,0.09,0
57,26939,628,2,0.25,0
23,23129,724,0,0.48,0
21,155718,779,0,0.36,0
32,33031,629,3,0.45,0
53,22324,547,2,0.46,1
20,17236,681,0,0.16,0
18,93438,678,2,0.13,0
34,39943,700,4,0.2,1
47,42098,606,1,0.36,0
55,44554,647,0,0.21,0
33,90018,500,2,0.58,1
34,44014,762,0,0.33,0
55,200071,695,1,0.28,0
18,53117,607,4,0.44,1
34,92695,550,2,0.2,1
42,79470,547,3,0.17,1
45,47960,704,0,0.64,0
33,34469,585,3,0.23,1
40,59824,686,3,0.28,0
18,66573,770,3,0.8,1
31,34767,632,5,0.45,1
45,54165,622,1,0.18,0
27,102921,702,2,0.38,0
40,169730,606,2,0.4,0
45,81848,783,1,0.19,0
35,149889,764,3,0.54,0
42,33603,670,0,0.23,0
27,74692,626,2,0.1,0
37,109437,654,0,0.25,0
47,28629,662,1,0.08,0
42,36630,703,2,0.47,0
32,139071,742,1,0.51,0
42,27308,617,1,0.07,0
49,21923,740,3,0.35,0
18,122613,717,0,0.27,0
55,100514,625,4,0.22,1
35,63530,614,2,0.58,0
45,47694,686,1,0.09,0
55,37680,616,1,0.1,0
22,58056,741,1,0.16,0
30,126485,612,0,0.19,0
36,56564,712,1,0.2,0
29,179903,618,2,0.6,1
62,28602,646,7,0.49,0
28,48445,614,3,0.36,1
32,39189,744,1,0.27,0
42,25563,608,2,0.14,0
24,44718,655,1,0.06,0
34,62968,634,0,0.64,0
44,67140,677,0,0.14,0
35,180280,638,0,0.35,0
38,64775,573,0,0.25,0
33,97741,616,2,0.14,0
20,51003,778,2,0.19,0
44,134166,694,1,0.13,0
62,206709,692,1,0.44,0
40,67416,663,1,0.46,0
42,27021,676,1,0.66,0
49,35267,654,1,0.32,0
23,58055,711,1,0.15,0
62,64466,686,0,0.7,0
42,74537,582,1,0.29,1
61,64609,695,2,0.22,0
30,49226,494,2,0.48,1
63,33465,704,2,0.14,0
50,62360,575,2,0.51,1
47,149192,674,1,0.2,0
43,90396,608,0,0.06,0
36,67563,680,1,0.23,0
55,90920,714,1,0.61,0
41,39236,770,1,0.06,0
18,36135,549,2,0.29,1
25,31298,738,0,0.15,0
37,45470,687,1,0.45,0
44,38055,652,1,0.38,0
39,101211,692,2,0.23,1
55,36857,665,1,0.29,0
18,30283,723,0,0.21,0
41,157242,620,1,0.2,0
18,37390,642,0,0.28,0
49,53750,736,0,0.21,0
38,64266,769,2,0.51,0
45,24784,651,3,0.31,1
28,102877,488,3,0.33,1
56,71845,668,1,0.4,0
53,124870,640,1,0.54,1
47,32613,666,0,0.3,0
38,52024,700,4,0.39,0
47,50192,600,1,0.19,1
30,57430,730,3,0.31,0
51,20480,567,0,0.55,1
61,52391,754,1,0.46,0
53,20829,773,2,0.36,0
30,60779,591,5,0.47,1
44,15000,594,3,0.54,1
23,16139,704,3,0.2,0
47,80107,565,1,0.23,1
45,35309,650,2,0.21,0
18,27099,746,0,0.07,0
24,105083,724,0,0.11,0
36,59669,798,1,0.1,0
36,82723,690,1,0.2,0
24,44367,643,2,0.16,0
45,244697,683,4,0.1,0
43,34108,670,1,0.06,0
37,139622,645,2,0.29,1
30,47248,678,1,0.32,0
53,18165,599,0,0.55,1
61,65493,696,1,0.5,0
33,59210,551,3,0.55,1
32,26087,612,2,0.18,1
46,28188,672,0,0.13,0
35,48299,521,2,0.22,1
38,60466,726,2,0.32,0
49,15000,530,5,0.18,1
18,92214,679,0,0.8,1
57,36435,602,1,0.06,0
40,22047,655,1,0.26,0
34,86218,711,1,0.15,0
38,48331,811,1,0.31,0
39,101691,686,1,0.24,0
18,63752,510,1,0.65,1
59,48976,737,1,0.15,0
40,44728,666,0,0.06,0
45,65488,684,1,0.25,0
52,38249,713,2,0.16,0
26,29391,546,2,0.16,0
46,70681,680,0,0.58,0
36,44950,655,0,0.06,0
51,50018,753,1,0.26,0
18,94242,723,2,0.33,0
38,45783,553,3,0.48,1
32,49464,755,2,0.12,0
45,34207,706,2,0.3,0
46,63477,567,2,0.26,1
30,60469,651,5,0.45,1
30,84159,742,1,0.3,0
38,34631,570,2,0.43,1
28,37246,762,0,0.71,0
50,78848,565,2,0.68,1
35,57029,632,0,0.29,0
18,28460,623,0,0.25,0
35,107358,762,1,0.26,0
26,17693,650,1,0.32,0
18,78477,610,1,0.33,0
23,22945,706,0,0.29,0
41,151975,719,2,0.13,0
57,19404,720,0,0.22,0
44,97865,663,1,0.21,0
32,46677,695,0,0.6,0
45,39341,640,2,0.43,0
34,54788,780,2,0.1,0
30,71620,748,2,0.05,0
24,28491,744,1,0.33,0
18,30047,727,2,0.18,0
34,72385,677,5,0.19,1
42,17598,605,1,0.28,0
38,34525,717,1,0.1,0
34,250000,686,2,0.17,0
27,27424,755,1,0.59,0
47,97604,728,1,0.61,0
22,34490,713,1,0.32,0
50,66531,578,1,0.1,0
26,72592,674,2,0.46,0
30,96507,619,0,0.13,1
20,43470,695,0,0.58,0
33,161672,655,0,0.09,0
52,34420,663,0,0.14,0
46,56417,674,0,0.72,1
52,56792,654,1,0.2,0
46,25004,687,1,0.15,0
25,41294,545,3,0.57,1
35,54009,630,0,0.23,0
29,37825,681,2,0.5,1
57,212045,606,1,0.41,0
24,29638,754,1,0.44,0
51,99474,738,1,0.34,0
51,81950,605,0,0.3,1
63,48614,850,1,0.05,0
34,29169,722,5,0.49,1
49,30916,623,1,0.21,0
69,35926,724,2,0.42,0
31,16790,683,1,0.19,0
20,26847,633,1,0.13,0
18,20141,615,0,0.12,0
49,109921,739,1,0.15,0
18,71045,602,5,0.8,1
35,78557,673,2,0.1,0
45,69793,624,0,0.61,0
42,54186,576,6,0.61,1
45,117760,672,1,0.33,0
42,33980,703,1,0.07,0
56,52260,479,2,0.25,1
27,76744,681,2,0.44,0
31,22187,635,0,0.16,0
29,250000,764,0,0.29,0
50,49868,832,4,0.1,1
51,53380,658,1,0.42,0
45,104206,545,3,0.5,1
55,84878,687,1,0.08,0
24,50153,667,1,0.13,0
61,53001,798,2,0.37,0
59,19880,779,2,0.29,0
49,35105,731,3,0.27,0
63,66857,607,4,0.5,1
18,63980,720,1,0.14,0
33,101997,695,1,0.18,0
30,45601,694,0,0.11,0
49,21324,562,2,0.33,1
26,92414,709,1,0.48,1
49,116035,686,1,0.19,0
57,84031,673,1,0.24,0
49,44436,643,0,0.11,0
43,91732,595,3,0.22,1
27,250000,699,0,0.3,0
28,52527,523,1,0.4,1
56,22313,727,3,0.38,0
50,34483,616,1,0.24,0
39,71345,518,3,0.37,1
34,18715,789,3,0.42,0
18,54265,569,0,0.2,1
26,61586,636,3,0.42,0
64,123139,713,3,0.24,1
23,107593,791,0,0.28,0
42,82351,588,0,0.38,0
53,15000,622,1,0.21,0
23,85189,627,0,0.34,0
42,74854,736,0,0.31,0
52,57157,778,5,0.26,0
40,17359,569,4,0.58,1
70,30758,764,0,0.05,0
18,24340,609,0,0.39,1
53,15000,700,1,0.41,0
37,48935,603,1,0.45,0
50,30372,672,0,0.18,0
45,236850,636,8,0.32,1
30,44299,623,2,0.34,1
42,106537,703,0,0.29,0
18,19120,581,2,0.8,1
47,35665,626,0,0.47,0
43,51955,706,0,0.29,0
48,28427,760,2,0.18,0
53,38050,678,1,0.3,0
44,43011,661,3,0.65,1
41,42601,725,1,0.21,0
28,149204,729,2,0.1,0
30,61508,622,3,0.4,0
55,65362,633,0,0.49,0
58,67764,638,2,0.26,0
36,70797,759,3,0.42,1
40,46642,710,2,0.55,0
28,40439,707,2,0.26,0
55,54181,701,0,0.22,0
48,98133,542,3,0.34,1
65,96350,796,1,0.32,0
28,42436,708,0,0.5,0
35,77707,723,3,0.11,0
43,43619,526,2,0.59,1
48,50027,726,1,0.46,0
37,36897,658,3,0.32,0
28,43959,578,4,0.53,1
51,109622,622,2,0.38,0
49,51815,552,3,0.16,1
28,53165,603,0,0.55,0
57,20571,683,1,0.09,0
55,40719,634,2,0.68,1
41,42413,700,0,0.26,0
41,29807,740,4,0.43,1
47,49662,618,0,0.35,1
28,37891,492,4,0.34,1
40,51431,665,2,0.37,0
18,52727,751,3,0.43,0
51,27626,674,2,0.21,0
19,38591,771,1,0.12,0
59,51350,707,1,0.32,0
35,99765,512,2,0.17,1
37,57184,686,2,0.32,0
31,32953,697,0,0.41,0
36,62280,744,3,0.42,0
58,136561,789,0,0.19,0
